afirmacao,fonte,tipo,local_no_tcc,observacao_limitacao
Contagem previa estimativa; dependente de modelo,https://platform.claude.com/docs/en/build-with-claude/token-counting,Fonte técnica primária,Resultados e Discussão: Delineamento e evidências; Tabela 2,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Cache: criacao/leitura; 5 min e 1 h conforme politica,https://platform.claude.com/docs/en/build-with-claude/prompt-caching,Fonte técnica primária,Resultados e Discussão: Delineamento e evidências; Tabela 2,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Quotas dimensionadas em requisicoes e tokens,https://platform.claude.com/docs/en/api/rate-limits,Fonte técnica primária,Resultados e Discussão: Delineamento e evidências; Tabela 2,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Ataques a contratos; nao e auditoria de USDC,"Atzei, N.; Bartoletti, M.; Cimoli, T. 2017. A survey of attacks on Ethereum smart contracts (SoK). p. 164-186. In: Maffei, M.; Ryan, M. Principles of Security and Trust. Springer, Berlin, Alemanha. DOI: 10.1007/978-3-662-54455-6_8.",Publicação científica,Resultados e Discussão: Delineamento e evidências; Tabela 2,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Formato de seis elementos de cenario; nao se executou workshop,https://www.sei.cmu.edu/library/quality-attribute-workshops-qaws-third-edition/,Fonte técnica primária,Introdução; Metodologia; Validade e escopo,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Ano do fasciculo 2022; publicacao online 2021; versao de autor tambem consultada em arxiv.org/abs/2005.14282,"Belchior, R.; Vasconcelos, A.; Guerreiro, S.; Correia, M. 2022. A survey on blockchain interoperability: past, present, and future trends. ACM Computing Surveys 54(8): 168:1-168:41. DOI: 10.1145/3471140.",Publicação científica,Resultados e Discussão: Delineamento e evidências; Tabela 2,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Documento institucional fornecido,"Bigaton, A.; Velázquez, D.R.T.; Oliveira, E.D.; Belém, M.J.X.; Ramos, M.O. 2024. Metodologias de Pesquisa para Trabalhos de Conclusão de Curso. PECEGE Editora, Piracicaba, SP, Brasil.",Documento metodológico institucional fornecido,Introdução; Metodologia; Validade e escopo,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Tecnica de analise documental; metadados e resumo editorial,"Bowen, G.A. 2009. Document analysis as a qualitative research method. Qualitative Research Journal 9(2): 27-40. DOI: 10.3316/QRJ0902027.",Publicação científica,Introdução; Metodologia; Validade e escopo,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Data publicada de atualizacao 12 dez 2025; escopo dos termos nao universal,https://www.circle.com/legal/usdc-terms,Fonte técnica primária,Resultados e Discussão: Delineamento e evidências; Tabela 2,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Inspecao de papeis e contrato EVM; versao online mutavel,https://github.com/circlefin/stablecoin-evm/blob/master/doc/tokendesign.md,Fonte técnica primária,Resultados e Discussão: Delineamento e evidências; Tabela 2,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Unicidade de source+id; persistencia idempotente e escolha propria,https://github.com/cloudevents/spec/blob/v1.0.2/cloudevents/spec.md,Fonte técnica primária,Metodologia: verificação controlada; cenários S2-S4,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Escopo Estados Unidos; atualizado 22 jul 2026,https://www.coinbase.com/legal/user_agreement/united_states,Fonte técnica primária,Resultados e Discussão: Delineamento e evidências; Tabela 2,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Ano de fasciculo 2021; online 2020; metodo e aplicacao nao transferem resultados,"Garriga, M.; Dalla Palma, S.; Arias, M.; De Renzis, A.; Pareschi, R.; Tamburri, D.A. 2021. Blockchain and cryptocurrencies: a classification and comparison of architecture drivers. Concurrency and Computation: Practice and Experience 33(8): e5992. DOI: 10.1002/cpe.5992.",Publicação científica,Introdução; construção da matriz; Tabela 4,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Documentacao de contagem e metadados,https://ai.google.dev/gemini-api/docs/tokens,Fonte técnica primária,Resultados e Discussão: Delineamento e evidências; Tabela 2,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Documentacao de cache; politicas por modelo,https://ai.google.dev/gemini-api/docs/caching,Fonte técnica primária,Resultados e Discussão: Delineamento e evidências; Tabela 2,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Quotas por projeto/modelo; nao limite financeiro,https://ai.google.dev/gemini-api/docs/rate-limits,Fonte técnica primária,Resultados e Discussão: Delineamento e evidências; Tabela 2,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
