id,group,label,expected,actual,passed,basis,error
D01,domain,Priority: monthly allowance before extra grant,"{""allocations"": {""extra"": 5000, ""monthly"": 10000}, ""balance"": 95000, ""overage"": 0}","{""allocations"": {""extra"": 5000, ""monthly"": 10000}, ""balance"": 95000, ""overage"": 0}",True,"OpenMeter Grant + engine/grant.go, fixed commit in sources.json",
D02,domain,Equal priority: earliest expiration,"{""earlier"": 50}","{""earlier"": 50}",True,"OpenMeter Grant + engine/grant.go, fixed commit in sources.json",
D03,domain,Equal priority and expiration: creation order,"{""created-first"": 50}","{""created-first"": 50}",True,"OpenMeter Grant + engine/grant.go, fixed commit in sources.json",
D04,domain,Effective-time boundary,"[0, 100]","[0, 100]",True,"OpenMeter Grant + engine/grant.go, fixed commit in sources.json",
D05,domain,Expiration boundary after partial use,"[70, 0]","[70, 0]",True,"OpenMeter Grant + engine/grant.go, fixed commit in sources.json",
D06,domain,"Void: no remaining entitlement, journal reconciles","[0, true]","[0, true]",True,"OpenMeter Grant + engine/grant.go, fixed commit in sources.json",
D07,domain,Customer isolation,"[70, 200]","[70, 200]",True,Research test design,
D08,domain,Feature isolation,"[70, 200]","[70, 200]",True,Research test design,
D09,domain,Zero usage is a neutral event,"{""balance"": 100, ""grants"": {""g"": 100}, ""overage"": 0, ""usage"": 0}","{""balance"": 100, ""grants"": {""g"": 100}, ""overage"": 0, ""usage"": 0}",True,Research test design,
D10,domain,"Overage is recorded, not hidden or rejected","{""balance"": 0, ""grants"": {""g"": 0}, ""overage"": 30, ""usage"": 130}","{""balance"": 0, ""grants"": {""g"": 0}, ""overage"": 30, ""usage"": 130}",True,OpenMeter Entitlement (balance/usage/overage),
P01,period,Rollover: restore fixed allowance,10000,10000,True,OpenMeter Grant rollover + credit/grant/grant.go,
P02,period,Rollover: cap remaining amount,50,50,True,OpenMeter Grant rollover + credit/grant/grant.go,
P03,period,Rollover: guaranteed minimum,50,50,True,OpenMeter Grant rollover + credit/grant/grant.go,
P04,period,Reset must not revive an expired grant,0,0,True,OpenMeter Grant rollover + credit/grant/grant.go,
P05,period,Grant effective at reset belongs to new period,100,100,True,OpenMeter Grant caveats,
P06,period,Second reset in same minute rejected,"""ValueError""","""ValueError""",True,OpenMeter Entitlement reset frequency,
P07,period,Preserve overage at reset,"{""balance"": 70, ""grants"": {""g"": 70}, ""overage"": 0, ""usage"": 0}","{""balance"": 70, ""grants"": {""g"": 70}, ""overage"": 0, ""usage"": 0}",True,OpenMeter Entitlement + engine/reset.go,
P08,period,Forgive overage at reset,"{""balance"": 100, ""grants"": {""g"": 100}, ""overage"": 0, ""usage"": 0}","{""balance"": 100, ""grants"": {""g"": 100}, ""overage"": 0, ""usage"": 0}",True,OpenMeter Entitlement + engine/reset.go,
T01,transaction,"Five deliveries of one event, one debit","{""balance"": 9300, ""committed_usage_events"": 1, ""duplicates"": 4, ""usage"": 700}","{""balance"": 9300, ""committed_usage_events"": 1, ""duplicates"": 4, ""usage"": 700}",True,Research design: durable source/id dedup + SQLite transaction,
T02,transaction,Identity collision with changed payload rejected,"[""ValueError"", 70]","[""ValueError"", 70]",True,Research design: durable source/id dedup + SQLite transaction,
T03,transaction,Same id from distinct sources is not duplicate,50,50,True,Research design: durable source/id dedup + SQLite transaction,
T04,transaction,Exception between projection update and commit,"{""after_failure"": [10000, 1, 1], ""after_retry"": 9300, ""error"": ""RuntimeError"", ""reconciled"": true}","{""after_failure"": [10000, 1, 1], ""after_retry"": 9300, ""error"": ""RuntimeError"", ""reconciled"": true}",True,Research design: durable source/id dedup + SQLite transaction,
T05,transaction,Reopen database without loss of committed state,"{""balance"": 70, ""grants"": {""g"": 70}, ""overage"": 0, ""usage"": 30}","{""balance"": 70, ""grants"": {""g"": 70}, ""overage"": 0, ""usage"": 30}",True,Research design: durable source/id dedup + SQLite transaction,
T06,transaction,Replay committed events and reconcile entries,"{""balance"": 103000, ""events"": 5, ""reconciled"": true, ""same_state"": true}","{""balance"": 103000, ""events"": 5, ""reconciled"": true, ""same_state"": true}",True,Research design: durable source/id dedup + SQLite transaction,
T07,transaction,"Eight local workers: 400 calls, 100 unique events","{""balance"": 9000, ""calls"": 400, ""committed"": 100, ""duplicate"": 300, ""reconciled"": true, ""usage"": 1000}","{""balance"": 9000, ""calls"": 400, ""committed"": 100, ""duplicate"": 300, ""reconciled"": true, ""usage"": 1000}",True,Research design: durable source/id dedup + SQLite transaction,
C01,counterexample,Identical aggregate balances hide different expiration states,"{""equal_scalar_before"": true, ""naive_counter_after"": [100, 100], ""valid_balances_after"": [0, 100]}","{""equal_scalar_before"": true, ""naive_counter_after"": [100, 100], ""valid_balances_after"": [0, 100]}",True,"Original information-loss counterexample, based on grant expiration",
V01,validation,Negative usage rejected without side effects,"[""ValueError"", 100]","[""ValueError"", 100]",True,Research test design,
V02,validation,Late event explicitly rejected outside prototype scope,"""ValueError""","""ValueError""",True,Research test design,
B001,boundary,rollover b=0 min=0 max=0,0,0,True,OpenMeter Grant rollover + credit/grant/grant.go,
B002,boundary,rollover b=0 min=0 max=1,0,0,True,OpenMeter Grant rollover + credit/grant/grant.go,
B003,boundary,rollover b=0 min=0 max=5,0,0,True,OpenMeter Grant rollover + credit/grant/grant.go,
B004,boundary,rollover b=0 min=0 max=10,0,0,True,OpenMeter Grant rollover + credit/grant/grant.go,
B005,boundary,rollover b=0 min=0 max=100,0,0,True,OpenMeter Grant rollover + credit/grant/grant.go,
B006,boundary,rollover b=0 min=1 max=1,1,1,True,OpenMeter Grant rollover + credit/grant/grant.go,
B007,boundary,rollover b=0 min=1 max=5,1,1,True,OpenMeter Grant rollover + credit/grant/grant.go,
B008,boundary,rollover b=0 min=1 max=10,1,1,True,OpenMeter Grant rollover + credit/grant/grant.go,
B009,boundary,rollover b=0 min=1 max=100,1,1,True,OpenMeter Grant rollover + credit/grant/grant.go,
B010,boundary,rollover b=0 min=5 max=5,5,5,True,OpenMeter Grant rollover + credit/grant/grant.go,
B011,boundary,rollover b=0 min=5 max=10,5,5,True,OpenMeter Grant rollover + credit/grant/grant.go,
B012,boundary,rollover b=0 min=5 max=100,5,5,True,OpenMeter Grant rollover + credit/grant/grant.go,
B013,boundary,rollover b=0 min=10 max=10,10,10,True,OpenMeter Grant rollover + credit/grant/grant.go,
B014,boundary,rollover b=0 min=10 max=100,10,10,True,OpenMeter Grant rollover + credit/grant/grant.go,
B015,boundary,rollover b=0 min=100 max=100,100,100,True,OpenMeter Grant rollover + credit/grant/grant.go,
B016,boundary,rollover b=1 min=0 max=0,0,0,True,OpenMeter Grant rollover + credit/grant/grant.go,
B017,boundary,rollover b=1 min=0 max=1,1,1,True,OpenMeter Grant rollover + credit/grant/grant.go,
B018,boundary,rollover b=1 min=0 max=5,1,1,True,OpenMeter Grant rollover + credit/grant/grant.go,
B019,boundary,rollover b=1 min=0 max=10,1,1,True,OpenMeter Grant rollover + credit/grant/grant.go,
B020,boundary,rollover b=1 min=0 max=100,1,1,True,OpenMeter Grant rollover + credit/grant/grant.go,
B021,boundary,rollover b=1 min=1 max=1,1,1,True,OpenMeter Grant rollover + credit/grant/grant.go,
B022,boundary,rollover b=1 min=1 max=5,1,1,True,OpenMeter Grant rollover + credit/grant/grant.go,
B023,boundary,rollover b=1 min=1 max=10,1,1,True,OpenMeter Grant rollover + credit/grant/grant.go,
B024,boundary,rollover b=1 min=1 max=100,1,1,True,OpenMeter Grant rollover + credit/grant/grant.go,
B025,boundary,rollover b=1 min=5 max=5,5,5,True,OpenMeter Grant rollover + credit/grant/grant.go,
B026,boundary,rollover b=1 min=5 max=10,5,5,True,OpenMeter Grant rollover + credit/grant/grant.go,
B027,boundary,rollover b=1 min=5 max=100,5,5,True,OpenMeter Grant rollover + credit/grant/grant.go,
B028,boundary,rollover b=1 min=10 max=10,10,10,True,OpenMeter Grant rollover + credit/grant/grant.go,
B029,boundary,rollover b=1 min=10 max=100,10,10,True,OpenMeter Grant rollover + credit/grant/grant.go,
B030,boundary,rollover b=1 min=100 max=100,100,100,True,OpenMeter Grant rollover + credit/grant/grant.go,
B031,boundary,rollover b=5 min=0 max=0,0,0,True,OpenMeter Grant rollover + credit/grant/grant.go,
B032,boundary,rollover b=5 min=0 max=1,1,1,True,OpenMeter Grant rollover + credit/grant/grant.go,
B033,boundary,rollover b=5 min=0 max=5,5,5,True,OpenMeter Grant rollover + credit/grant/grant.go,
B034,boundary,rollover b=5 min=0 max=10,5,5,True,OpenMeter Grant rollover + credit/grant/grant.go,
B035,boundary,rollover b=5 min=0 max=100,5,5,True,OpenMeter Grant rollover + credit/grant/grant.go,
B036,boundary,rollover b=5 min=1 max=1,1,1,True,OpenMeter Grant rollover + credit/grant/grant.go,
B037,boundary,rollover b=5 min=1 max=5,5,5,True,OpenMeter Grant rollover + credit/grant/grant.go,
B038,boundary,rollover b=5 min=1 max=10,5,5,True,OpenMeter Grant rollover + credit/grant/grant.go,
B039,boundary,rollover b=5 min=1 max=100,5,5,True,OpenMeter Grant rollover + credit/grant/grant.go,
